win_center_time_s,delay_ms,delay_frames
1.997500,nan,0.000
2.997500,nan,0.000
3.997500,nan,0.000
4.997500,75.449587,15.090
5.997500,29.860997,5.972
6.997500,30.662600,6.133
7.997500,28.429637,5.686
8.997500,28.102866,5.621
9.997500,28.358672,5.672
10.997500,28.247605,5.650
11.997500,28.269574,5.654
12.997500,28.726398,5.745
13.997500,28.579717,5.716
14.997500,28.210838,5.642
15.997500,28.270075,5.654
16.997500,27.995712,5.599
17.997500,26.737043,5.347
18.997500,26.528015,5.306
19.997500,26.109853,5.222
20.997500,25.265615,5.053
21.997500,26.168414,5.234
22.997500,27.352157,5.470
23.997500,20.067070,4.013
24.997500,nan,0.000
25.997500,nan,0.000
26.997500,nan,0.000
27.997500,nan,0.000
