axis,max_lag_sec,detrend_ma_sec,xcorr_window_sec,smooth_kernel,avg_delay_ms,max_delay_ms,std_delay_ms,fps
x,0.030,0.00,2.00,3,13.640,30.000,15.779,200.000
x,0.030,0.00,2.00,5,16.270,30.000,12.917,200.000
x,0.030,0.00,2.00,7,12.632,30.000,17.975,200.000
x,0.030,0.00,3.00,3,16.556,30.000,14.089,200.000
x,0.030,0.00,3.00,5,16.769,30.000,13.681,200.000
x,0.030,0.00,3.00,7,15.884,30.000,15.889,200.000
x,0.030,0.00,4.00,3,17.239,30.000,14.482,200.000
x,0.030,0.00,4.00,5,19.338,30.000,10.557,200.000
x,0.030,0.00,4.00,7,13.341,30.000,18.823,200.000
x,0.030,0.50,2.00,3,10.964,30.000,17.674,200.000
x,0.030,0.50,2.00,5,15.164,30.000,12.026,200.000
x,0.030,0.50,2.00,7,9.298,30.000,19.262,200.000
x,0.030,0.50,3.00,3,14.482,30.000,16.197,200.000
x,0.030,0.50,3.00,5,15.852,30.000,13.979,200.000
x,0.030,0.50,3.00,7,13.810,30.000,17.363,200.000
x,0.030,0.50,4.00,3,10.806,30.000,18.343,200.000
x,0.030,0.50,4.00,5,14.981,30.000,14.355,200.000
x,0.030,0.50,4.00,7,9.272,30.000,19.829,200.000
x,0.030,1.00,2.00,3,11.412,30.000,17.771,200.000
x,0.030,1.00,2.00,5,13.445,30.000,15.588,200.000
x,0.030,1.00,2.00,7,8.748,30.000,19.251,200.000
x,0.030,1.00,3.00,3,12.618,30.000,17.789,200.000
x,0.030,1.00,3.00,5,13.067,30.000,17.424,200.000
x,0.030,1.00,3.00,7,11.967,30.000,18.707,200.000
x,0.030,1.00,4.00,3,13.069,30.000,16.988,200.000
x,0.030,1.00,4.00,5,15.037,30.000,14.445,200.000
x,0.030,1.00,4.00,7,11.621,30.000,18.482,200.000
x,0.050,0.00,2.00,3,12.065,50.000,26.479,200.000
x,0.050,0.00,2.00,5,19.512,50.000,24.613,200.000
x,0.050,0.00,2.00,7,19.319,50.000,27.524,200.000
