frame,time_s,green_x,green_y,red_x,red_y
0,0.000000,1105,658,1435,525
1,0.005000,1106,633,1435,525
2,0.010000,1106,633,1435,525
3,0.015000,1107,634,1435,525
4,0.020000,1107,633,1435,525
5,0.025000,1106,634,1435,525
6,0.030000,1106,634,1435,525
7,0.035000,1106,634,1435,525
8,0.040000,1106,634,1435,525
9,0.045000,1106,634,1435,525
10,0.050000,1106,634,1435,525
11,0.055000,1106,634,1435,525
12,0.060000,1107,633,1435,525
13,0.065000,1107,633,1435,525
14,0.070000,1107,633,1435,525
15,0.075000,1107,633,1435,525
16,0.080000,1107,633,1435,525
17,0.085000,1107,633,1435,525
18,0.090000,1107,633,1435,525
19,0.095000,1107,634,1435,525
20,0.100000,1107,634,1435,525
21,0.105000,1107,633,1435,525
22,0.110000,1107,633,1435,525
23,0.115000,1107,633,1435,525
24,0.120000,1106,633,1435,525
25,0.125000,1106,633,1435,525
26,0.130000,1107,633,1435,525
27,0.135000,1107,634,1435,525
28,0.140000,1106,634,1435,525
29,0.145000,1106,634,1435,525
30,0.150000,1107,633,1435,525
31,0.155000,1107,633,1435,525
32,0.160000,1107,633,1435,525
33,0.165000,1107,633,1435,525
34,0.170000,1106,633,1435,525
35,0.175000,1106,633,1435,525
36,0.180000,1107,632,1435,525
37,0.185000,1107,634,1435,525
38,0.190000,1107,634,1435,525
39,0.195000,1106,633,1435,525
40,0.200000,1106,633,1435,525
41,0.205000,1106,633,1435,525
42,0.210000,1106,633,1435,525
43,0.215000,1106,633,1435,525
44,0.220000,1107,633,1435,525
45,0.225000,1106,634,1435,525
46,0.230000,1107,633,1435,525
47,0.235000,1107,633,1435,525
48,0.240000,1106,633,1435,525
49,0.245000,1106,633,1435,525
50,0.250000,1107,633,1435,525
51,0.255000,1108,634,1435,525
52,0.260000,1108,634,1435,525
53,0.265000,1107,634,1435,525
54,0.270000,1107,634,1435,525
55,0.275000,1107,634,1435,525
56,0.280000,1107,634,1435,525
57,0.285000,1107,634,1435,525
58,0.290000,1107,633,1435,525
59,0.295000,1107,634,1435,525
60,0.300000,1106,633,1435,525
61,0.305000,1106,633,1435,525
62,0.310000,1106,634,1435,525
63,0.315000,1107,634,1435,525
64,0.320000,1107,634,1435,525
65,0.325000,1107,634,1435,525
66,0.330000,1107,634,1435,525
67,0.335000,1107,634,1435,525
68,0.340000,1107,633,1435,525
69,0.345000,1107,633,1435,525
70,0.350000,1107,633,1435,525
71,0.355000,1107,633,1435,525
72,0.360000,1107,633,1435,525
73,0.365000,1108,634,1435,525
74,0.370000,1108,634,1435,525
75,0.375000,1107,633,1435,525
76,0.380000,1107,633,1435,525
77,0.385000,1107,633,1435,525
78,0.390000,1107,633,1435,525
79,0.395000,1107,633,1435,525
80,0.400000,1107,633,1435,525
81,0.405000,1107,634,1435,525
82,0.410000,1107,634,1435,525
83,0.415000,1107,633,1435,525
84,0.420000,1106,633,1435,525
85,0.425000,1106,633,1435,525
86,0.430000,1107,633,1435,525
87,0.435000,1107,633,1435,525
88,0.440000,1107,633,1435,525
89,0.445000,1107,633,1435,525
90,0.450000,1108,633,1435,525
91,0.455000,1107,633,1435,525
92,0.460000,1108,633,1435,525
93,0.465000,1108,633,1435,525
94,0.470000,1108,633,1435,525
95,0.475000,1107,633,1435,525
96,0.480000,1107,633,1435,525
97,0.485000,1106,633,1435,525
98,0.490000,1107,633,1435,525
99,0.495000,1106,633,1435,525
100,0.500000,1107,633,1435,525
101,0.505000,1107,633,1435,525
102,0.510000,1107,633,1435,525
103,0.515000,1107,633,1435,525
104,0.520000,1107,633,1435,525
105,0.525000,1107,633,1435,525
